GEOID,NAME,variable,estimate,moe,geometry
24033801809,Census Tract 8018.09; Prince George's County; Maryland,B19013_001,84524,16576,"list(list(c(-76.96662, -76.964055, -76.962496, -76.957866, -76.959041, -76.95607, -76.956012, -76.952426, -76.948378, -76.948941, -76.953845, -76.956697, -76.95623, -76.957592, -76.958236, -76.960764, -76.960348, -76.962072, -76.96298, -76.965937, -76.96662, 38.843574, 38.845058, 38.846839, 38.850019, 38.851615, 38.8524, 38.852319, 38.847372, 38.842056, 38.841497, 38.838286, 38.835615, 38.83513, 38.83447, 38.835669, 38.836689, 38.838539, 38.840463, 38.841485, 38.84295, 38.843574)))"
24033801600,Census Tract 8016; Prince George's County; Maryland,B19013_001,69527,11817,"list(list(c(-77.001397, -77.001084509434, -76.999997, -76.9991308531942, -76.9984584905661, -76.9979429348247, -76.9959473293181, -76.992989, -76.993793, -76.992094, -76.993762, -76.99294, -76.996395, -76.996198, -76.998101, -76.998745, -76.999114, -76.999779, -77.0014810762983, -77.001397, 38.821513, 38.8216022830189, 38.821913, 38.8226604965584, 38.823240754717, 38.8236856863842, 38.8254079212734, 38.82451, 38.822832, 38.819565, 38.819074, 38.817257, 38.816519, 38.814989, 38.815365, 38.81543, 38.817094, 
38.818715, 38.821446228991, 38.821513)))"
24033802501,Census Tract 8025.01; Prince George's County; Maryland,B19013_001,61772,3970,"list(list(c(-76.9581401027746, -76.953696, -76.9498609664429, -76.949696, -76.9467461839551, -76.9467019673843, -76.9436412723315, -76.9394901437422, -76.935941, -76.934198, -76.932873, -76.933975, -76.940071, -76.94695, -76.949967, -76.952453, -76.953105, -76.956543, -76.957536, -76.9581401027746, 38.8549465208545, 38.858512, 38.8611965234899, 38.861312, 38.8636217776562, 38.8636564003057, 38.86605299892, 38.8693034334955, 38.866476, 38.866054, 38.86496, 38.864581, 38.862845, 38.860497, 38.858618, 
38.856226, 38.854821, 38.853169, 38.854431, 38.8549465208545)))"
24033800402,Census Tract 8004.02; Prince George's County; Maryland,B19013_001,125480,10230,"list(list(c(-76.757276, -76.753048, -76.751164, -76.748226, -76.74617, -76.745496, -76.742443, -76.740807, -76.740579, -76.735373, -76.734914, -76.732283, -76.728141, -76.731547, -76.737604, -76.741499, -76.747943, -76.75014, -76.755536, -76.755997, -76.756436, -76.756855, -76.757276, 38.984586, 38.985807, 38.988222, 38.989897, 38.990687, 38.991039, 38.994582, 38.998645, 38.997083, 38.991283, 38.99069, 38.987999, 38.982332, 38.980477, 38.978633, 38.97747, 38.975597, 38.974798, 38.970876, 38.973124, 
38.980674, 38.982582, 38.984586)))"
24033801308,Census Tract 8013.08; Prince George's County; Maryland,B19013_001,137224,25030,"list(list(c(-77.015865, -77.01428, -77.010653, -77.005818, -77.004218, -77.004817, -77.002452, -76.99826, -76.997166, -76.990188, -76.990062, -76.990041, -76.997194, -76.99889, -77.006053, -77.011999, -77.01563, -77.016547, -77.015865, 38.710759, 38.711143, 38.713263, 38.717962, 38.720046, 38.724926, 38.725334, 38.723975, 38.723914, 38.725523, 38.714365, 38.712606, 38.710533, 38.710956, 38.708294, 38.707517, 38.709015, 38.710709, 38.710759)))"
24033801006,Census Tract 8010.06; Prince George's County; Maryland,B19013_001,157616,37134,"list(list(c(-76.832393, -76.832309, -76.830948, -76.82988, -76.830157, -76.828361, -76.823105, -76.819924, -76.817195, -76.814121, -76.81037, -76.816574, -76.819682, -76.824343, -76.82705, -76.832382, -76.832393, 38.754155, 38.75545, 38.762571, 38.76983, 38.773404, 38.770818, 38.765521, 38.761268, 38.75899, 38.758468, 38.756694, 38.745993, 38.746682, 38.750335, 38.750291, 38.753331, 38.754155)))"
24033803803,Census Tract 8038.03; Prince George's County; Maryland,B19013_001,91553,10548,"list(list(c(-76.908731, -76.907329, -76.906038, -76.905545, -76.903121, -76.901123, -76.900479, -76.897895, -76.893738, -76.889436, -76.88549, -76.887669, -76.888263, -76.888817, -76.891883, -76.892029, -76.892103, -76.898694, -76.903111, -76.904036, -76.905106, -76.909422, -76.908731, 38.954174, 38.955642, 38.957449, 38.961212, 38.961395, 38.962821, 38.963234, 38.961867, 38.95951, 38.955453, 38.951658, 38.948619, 38.948196, 38.947968, 38.947078, 38.947045, 38.947143, 38.94861, 38.95018, 38.951103, 
38.951856, 38.953109, 38.954174)))"
24033802408,Census Tract 8024.08; Prince George's County; Maryland,B19013_001,58098,14887,"list(list(c(-76.923625, -76.923834, -76.923253, -76.920829, -76.920278, -76.918978, -76.917907, -76.917447, -76.916808, -76.915781, -76.916487, -76.914588, -76.917128, -76.918858, -76.924859, -76.923625, 38.86565, 38.867395, 38.867943, 38.870137, 38.869982, 38.869555, 38.868811, 38.868231, 38.866547, 38.864984, 38.863972, 38.860563, 38.86145, 38.860243, 38.864728, 38.86565)))"
24033802103,Census Tract 8021.03; Prince George's County; Maryland,B19013_001,74074,16696,"list(list(c(-76.909062, -76.908334, -76.90803, -76.90764, -76.907382, -76.906992, -76.906566, -76.902792, -76.901502, -76.901005, -76.900154, -76.897882, -76.89694, -76.895835, -76.89051, -76.889738, -76.886622, -76.882268, -76.878867, -76.877404, -76.874046, -76.874229, -76.885072, -76.887394, -76.891138, -76.891824, -76.892454, -76.895533, -76.902984, -76.90716, -76.910348, -76.909062, 38.853646, 38.853997, 38.853767, 38.853631, 38.853579, 38.853565, 38.853616, 38.854809, 38.855193, 38.855358, 
38.854928, 38.853771, 38.853293, 38.852779, 38.851522, 38.85121, 38.849985, 38.849617, 38.84805, 38.847197, 38.844563, 38.840965, 38.84363, 38.844182, 38.845139, 38.845376, 38.845526, 38.846628, 38.849326, 38.851025, 38.853162, 38.853646)))"
24033801908,Census Tract 8019.08; Prince George's County; Maryland,B19013_001,81060,18427,"list(list(c(-76.953179, -76.948785, -76.946023, -76.942656, -76.933418, -76.932154, -76.932086, -76.934161, -76.936611, -76.93627, -76.935008, -76.933793, -76.93321, -76.933427, -76.933771, -76.939003, -76.9407, -76.941492, -76.945356, -76.946306, -76.946399, -76.948378, -76.952426, -76.956012, -76.953179, 38.852342, 38.851425, 38.850048, 38.847552, 38.844266, 38.842899, 38.842789, 38.842458, 38.84205, 38.840411, 38.840001, 38.840117, 38.840218, 38.837315, 38.83625, 38.838872, 38.838402, 38.839403, 
38.838167, 38.839417, 38.839537, 38.842056, 38.847372, 38.852319, 38.852342)))"
